caso,ia,linguagem,ferramenta,total,high,medium,low,arquivo
caso01_auth,chatgpt,python,bandit,1,0,1,0,reports/sast/bandit/caso01_auth_chatgpt_python.json
caso01_auth,claude,python,bandit,1,0,1,0,reports/sast/bandit/caso01_auth_claude_python.json
caso01_auth,gemini,python,bandit,1,0,1,0,reports/sast/bandit/caso01_auth_gemini_python.json
caso02_products,chatgpt,python,bandit,1,0,1,0,reports/sast/bandit/caso02_products_chatgpt_python.json
caso02_products,claude,python,bandit,1,0,1,0,reports/sast/bandit/caso02_products_claude_python.json
caso02_products,gemini,python,bandit,1,0,1,0,reports/sast/bandit/caso02_products_gemini_python.json
caso03_upload,chatgpt,python,bandit,1,0,1,0,reports/sast/bandit/caso03_upload_chatgpt_python.json
caso03_upload,claude,python,bandit,1,0,1,0,reports/sast/bandit/caso03_upload_claude_python.json
caso03_upload,gemini,python,bandit,0,0,0,0,reports/sast/bandit/caso03_upload_gemini_python.json
caso04_comments,chatgpt,python,bandit,1,0,1,0,reports/sast/bandit/caso04_comments_chatgpt_python.json
caso04_comments,claude,python,bandit,1,0,1,0,reports/sast/bandit/caso04_comments_claude_python.json
caso04_comments,gemini,python,bandit,1,0,1,0,reports/sast/bandit/caso04_comments_gemini_python.json
caso05_session,chatgpt,python,bandit,1,0,1,0,reports/sast/bandit/caso05_session_chatgpt_python.json
caso05_session,claude,python,bandit,1,0,1,0,reports/sast/bandit/caso05_session_claude_python.json
caso05_session,gemini,python,bandit,1,0,1,0,reports/sast/bandit/caso05_session_gemini_python.json
caso01_auth,chatgpt,java,semgrep,0,0,0,0,reports/sast/semgrep/caso01_auth_chatgpt_java.json
caso01_auth,chatgpt,javascript,semgrep,0,0,0,0,reports/sast/semgrep/caso01_auth_chatgpt_javascript.json
caso01_auth,chatgpt,python,semgrep,1,0,1,0,reports/sast/semgrep/caso01_auth_chatgpt_python.json
caso01_auth,chatgpt,typescript,semgrep,0,0,0,0,reports/sast/semgrep/caso01_auth_chatgpt_typescript.json
caso01_auth,claude,java,semgrep,0,0,0,0,reports/sast/semgrep/caso01_auth_claude_java.json
caso01_auth,claude,javascript,semgrep,0,0,0,0,reports/sast/semgrep/caso01_auth_claude_javascript.json
caso01_auth,claude,python,semgrep,1,0,1,0,reports/sast/semgrep/caso01_auth_claude_python.json
caso01_auth,claude,typescript,semgrep,0,0,0,0,reports/sast/semgrep/caso01_auth_claude_typescript.json
caso01_auth,gemini,java,semgrep,0,0,0,0,reports/sast/semgrep/caso01_auth_gemini_java.json
